EGID,BAUJ,BAUJK,FLAE,GES,GKAT,n_eingange,GDEKT,GDENAME,GDENR,STRNAME,DEINR,PLZ4,PLZNAME,Latitude,Longitude,CH_BEZ_D,BAUJK_qual,FLAE_qual,GES_qual,EBF,Nutzung,HGT,co2_m2,co2,kwh_m2,kwh
1,1984,1981-1985,122,2,Gebäude mit teilweiser Wohnnutzung,2,ZH,Affoltern am Albis,2,Grossholzerstrasse,20,8910,Affoltern am Albis,47.26912,8.449096,ausserhalb Bauzonen,1,0,1,97.60000000000001,Rest,3112,24.11903142965101,2354.0174675339385,107.27098672832796,10469.64830468481
"48,1974,1971-1980,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Hasenbühlstrasse,22,8910,Affoltern am Albis,47.27102,8.453015,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,30.821912647564567,3008.218674402302,133.7275282160774,13051.806753889154"
"52,1974,1971-1980,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Hasenbühlstrasse,30,8910,Affoltern am Albis,47.27082,8.453146,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,30.821912647564567,3008.218674402302,133.7275282160774,13051.806753889154"
"53,1974,1971-1980,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Hasenbühlstrasse,32,8910,Affoltern am Albis,47.27048,8.45301,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,30.821912647564567,3008.218674402302,133.7275282160774,13051.806753889154"
"57,1974,1971-1980,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Hasenbühlstrasse,40,8910,Affoltern am Albis,47.27033,8.45325,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,30.821912647564567,3008.218674402302,133.7275282160774,13051.806753889154"
"64,1974,1971-1980,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Hasenbühlstrasse,54,8910,Affoltern am Albis,47.27045,8.453667,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,30.821912647564567,3008.218674402302,133.7275282160774,13051.806753889154"
"73,1981,1981-1985,122,4,""Mehrfamilienhaus, ohne Nebennutzung"",6,ZH,Affoltern am Albis,2,Loorenstrasse,13,8910,Affoltern am Albis,47.27119,8.451214,Wohnzonen,1,0,1,292.8,Wohnen,3112,24.30612416669599,7116.833156008586,107.13512542983074,31369.16472585444"
"75,1981,1981-1985,122,4,""Mehrfamilienhaus, ohne Nebennutzung"",8,ZH,Affoltern am Albis,2,Loorenstrasse,17,8910,Affoltern am Albis,47.27148,8.451139,Wohnzonen,1,0,1,292.8,Wohnen,3112,24.30612416669599,7116.833156008586,107.13512542983074,31369.16472585444"
"76,1990,1986-1990,122,3,""Mehrfamilienhaus, ohne Nebennutzung"",5,ZH,Affoltern am Albis,2,Grossholzerstrasse,10,8910,Affoltern am Albis,47.27123,8.449498,Wohnzonen,1,0,1,195.20000000000002,Wohnen,3112,18.021595389991724,3517.8154201263847,81.06149727290068,15823.204267670215"
"78,1946,1946-1960,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Hasenbühlweg,3,8910,Affoltern am Albis,47.27184,8.453066,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,34.42231729172554,3359.618167672413,140.38666524962295,13701.738528363201"
"95,1980,1971-1980,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Hasenbühlstrasse,16,8910,Affoltern am Albis,47.27244,8.452326,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,30.821912647564567,3008.218674402302,133.7275282160774,13051.806753889154"
"96,1979,1971-1980,122,3,""Mehrfamilienhaus, ohne Nebennutzung"",2,ZH,Affoltern am Albis,2,Hasenbühlstrasse,18,8910,Affoltern am Albis,47.27225,8.452325,Wohnzonen,1,0,1,195.20000000000002,Wohnen,3112,28.33365336176192,5530.729136215928,126.21781639132138,24637.717759585936"
"99,1946,1946-1960,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Hasenbühlstrasse,15,8910,Affoltern am Albis,47.27143,8.453094,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,34.42231729172554,3359.618167672413,140.38666524962295,13701.738528363201"
"113,1980,1971-1980,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Bifangstrasse,15,8910,Affoltern am Albis,47.27265,8.451718,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,30.821912647564567,3008.218674402302,133.7275282160774,13051.806753889154"
"114,1980,1971-1980,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Bifangstrasse,17,8910,Affoltern am Albis,47.27236,8.451982,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,30.821912647564567,3008.218674402302,133.7275282160774,13051.806753889154"
"115,1981,1981-1985,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Bifangstrasse,19,8910,Affoltern am Albis,47.27224,8.451718,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,27.775200355284117,2710.85955467573,117.4125949539232,11459.469267502905"
"118,1985,1981-1985,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Bifangstrasse,18,8910,Affoltern am Albis,47.27242,8.451303,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,27.775200355284117,2710.85955467573,117.4125949539232,11459.469267502905"
274,1990,1986-1990,122,3,Gebäude mit teilweiser Wohnnutzung,1,ZH,Affoltern am Albis,2,Obere Kirchfeldstrasse,11,8910,Affoltern am Albis,47.27778,8.456603,Zonen für öffentliche Nutzungen,1,0,1,195.20000000000002,Rest,3112,15.649335380616659,3054.750266296372,74.05974462579724,14456.462150955622
"276,1905,Vor 1919,122,3,""Mehrfamilienhaus, ohne Nebennutzung"",2,ZH,Affoltern am Albis,2,Obere Kirchfeldstrasse,13,8910,Affoltern am Albis,47.2776,8.456355,Wohnzonen,1,0,1,195.20000000000002,Wohnen,3112,23.63239323178765,4613.043158844949,109.82504537114173,21437.848856446868"
"280,1981,1981-1985,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Semperweg,10,8910,Affoltern am Albis,47.27692,8.456976,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,27.775200355284117,2710.85955467573,117.4125949539232,11459.469267502905"
"282,1981,1981-1985,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Semperweg,6,8910,Affoltern am Albis,47.27671,8.457352,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,27.775200355284117,2710.85955467573,117.4125949539232,11459.469267502905"
"290,1983,1981-1985,122,3,""Mehrfamilienhaus, ohne Nebennutzung"",6,ZH,Affoltern am Albis,2,Butzenstrasse,22,8910,Affoltern am Albis,47.27671,8.458959,Wohnzonen,1,0,1,195.20000000000002,Wohnen,3112,25.53290277338744,4984.022621365229,110.81907778910988,21631.88398443425"
"298,1981,1981-1985,122,3,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Butzenstrasse,38,8910,Affoltern am Albis,47.27615,8.459831,Wohnzonen,1,0,1,195.20000000000002,Wohnen,3112,25.53290277338744,4984.022621365229,110.81907778910988,21631.88398443425"
"302,1908,Vor 1919,122,1,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Butzenstrasse,46,8910,Affoltern am Albis,47.27601,8.460064,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,25.70778821011734,2509.0801293074524,116.35941956219085,11356.679349269829"
"304,1981,1981-1985,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Butzenstrasse,50,8910,Affoltern am Albis,47.27593,8.460162,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,27.775200355284117,2710.85955467573,117.4125949539232,11459.469267502905"
307,1966,1961-1970,122,2,Gebäude mit teilweiser Wohnnutzung,1,ZH,Affoltern am Albis,2,Butzenstrasse,8,8910,Affoltern am Albis,47.27747,8.457452,Zonen für öffentliche Nutzungen,1,0,1,97.60000000000001,Rest,3112,26.966093436854827,2631.8907194370313,115.33910424044413,11257.096573867348
309,1967,1961-1970,122,2,Wohngebäude mit Nebennutzung,2,ZH,Affoltern am Albis,2,Allmendstrasse,1,8910,Affoltern am Albis,47.27419,8.461978,ausserhalb Bauzonen,1,0,1,97.60000000000001,Wohnen,3112,31.053844354926174,3030.8552090407948,126.2434880255965,12321.36443129822
312,1957,1946-1960,122,3,Wohngebäude mit Nebennutzung,1,ZH,Affoltern am Albis,2,Aeugsterstrasse,2,8910,Affoltern am Albis,47.27189,8.467302,ausserhalb Bauzonen,1,0,1,195.20000000000002,Wohnen,3112,31.64339660567432,6176.791017427628,132.50299751025014,25864.58511400083
"320,1870,Vor 1919,122,3,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Mühlebergstrasse,28,8910,Affoltern am Albis,47.28148,8.456424,Mischzonen,1,0,1,195.20000000000002,Wohnen,3112,23.63239323178765,4613.043158844949,109.82504537114173,21437.848856446868"
322,1986,1986-1990,122,3,Wohngebäude mit Nebennutzung,1,ZH,Affoltern am Albis,2,Mühlebergstrasse,24,8910,Affoltern am Albis,47.28183,8.455977,Mischzonen,1,0,1,195.20000000000002,Wohnen,3112,18.021595389991724,3517.8154201263847,81.06149727290068,15823.204267670215
"323,1880,Vor 1919,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Mühlebergstrasse,23,8910,Affoltern am Albis,47.28199,8.456121,Mischzonen,1,0,1,97.60000000000001,Wohnen,3112,25.70778821011734,2509.0801293074524,116.35941956219085,11356.679349269829"
"325,1850,Vor 1919,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Mühlebergstrasse,21,8910,Affoltern am Albis,47.28207,8.455794,Mischzonen,1,0,1,97.60000000000001,Wohnen,3112,25.70778821011734,2509.0801293074524,116.35941956219085,11356.679349269829"
329,1965,1961-1970,122,3,Wohngebäude mit Nebennutzung,14,ZH,Affoltern am Albis,2,Mühlebergstrasse,17,8910,Affoltern am Albis,47.28191,8.455109,Wohnzonen,1,0,1,195.20000000000002,Wohnen,3112,28.546861175148695,5572.347301389026,119.1540560479681,23258.871740563376
"333,1750,Vor 1919,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Mühlebergstrasse,7,8910,Affoltern am Albis,47.2817,8.45458,Mischzonen,1,0,1,97.60000000000001,Wohnen,3112,25.70778821011734,2509.0801293074524,116.35941956219085,11356.679349269829"
337,1860,Vor 1919,122,3,Wohngebäude mit Nebennutzung,2,ZH,Affoltern am Albis,2,Mühlebergstrasse,6,8910,Affoltern am Albis,47.28145,8.454939,Mischzonen,1,0,1,195.20000000000002,Wohnen,3112,23.63239323178765,4613.043158844949,109.82504537114173,21437.848856446868
339,1911,Vor 1919,122,3,Gebäude mit teilweiser Wohnnutzung,7,ZH,Affoltern am Albis,2,Mühlebergstrasse,12,8910,Affoltern am Albis,47.28175,8.455323,Mischzonen,1,0,1,195.20000000000002,Rest,3112,20.52155980242712,4005.808473433774,100.33881790168296,19586.137254408513
"341,1860,Vor 1919,122,3,""Mehrfamilienhaus, ohne Nebennutzung"",2,ZH,Affoltern am Albis,2,Mühlebergstrasse,9,8910,Affoltern am Albis,47.28178,8.454632,Mischzonen,1,0,1,195.20000000000002,Wohnen,3112,23.63239323178765,4613.043158844949,109.82504537114173,21437.848856446868"
"344,1800,Vor 1919,122,3,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Mühlebergstrasse,15,8910,Affoltern am Albis,47.2818,8.454882,Mischzonen,1,0,1,195.20000000000002,Wohnen,3112,23.63239323178765,4613.043158844949,109.82504537114173,21437.848856446868"
"356,1970,1961-1970,122,4,""Mehrfamilienhaus, ohne Nebennutzung"",22,ZH,Affoltern am Albis,2,Brunnenstrasse,3,8910,Affoltern am Albis,47.28033,8.456502,Wohnzonen,1,0,1,292.8,Wohnen,3112,27.175271000358045,7956.919348904836,115.19302447603124,33728.51756658195"
"357,1971,1971-1980,122,4,""Mehrfamilienhaus, ohne Nebennutzung"",12,ZH,Affoltern am Albis,2,Brunnenhof,5,8910,Affoltern am Albis,47.2799,8.457334,Wohnzonen,1,0,1,292.8,Wohnen,3112,26.97230717632743,7897.491541228672,122.02196463227017,35728.031244328704"
"359,1970,1961-1970,122,3,""Mehrfamilienhaus, ohne Nebennutzung"",6,ZH,Affoltern am Albis,2,Brunnenstrasse,6,8910,Affoltern am Albis,47.28059,8.456254,Wohnzonen,1,0,1,195.20000000000002,Wohnen,3112,28.546861175148695,5572.347301389026,119.1540560479681,23258.871740563376"
"361,1981,1981-1985,122,3,""Mehrfamilienhaus, ohne Nebennutzung"",12,ZH,Affoltern am Albis,2,Untere Kirchfeldstrasse,8,8910,Affoltern am Albis,47.28082,8.455588,Wohnzonen,1,0,1,195.20000000000002,Wohnen,3112,25.53290277338744,4984.022621365229,110.81907778910988,21631.88398443425"
"377,1979,1971-1980,122,3,""Mehrfamilienhaus, ohne Nebennutzung"",2,ZH,Affoltern am Albis,2,Erlenweg,1,8910,Affoltern am Albis,47.27873,8.459308,Wohnzonen,1,0,1,195.20000000000002,Wohnen,3112,28.33365336176192,5530.729136215928,126.21781639132138,24637.717759585936"
"380,1979,1971-1980,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Erlenweg,4,8910,Affoltern am Albis,47.27887,8.459189,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,30.821912647564567,3008.218674402302,133.7275282160774,13051.806753889154"
"117,1985,1981-1985,122,3,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Bifangstrasse,16,8910,Affoltern am Albis,47.27251,8.451287,Wohnzonen,1,0,1,195.20000000000002,Wohnen,3112,25.53290277338744,4984.022621365229,110.81907778910988,21631.88398443425"
"119,1985,1981-1985,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Bifangstrasse,20,8910,Affoltern am Albis,47.27234,8.451313,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,27.775200355284117,2710.85955467573,117.4125949539232,11459.469267502905"
"120,1985,1981-1985,122,3,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Bifangstrasse,22,8910,Affoltern am Albis,47.27226,8.451341,Wohnzonen,1,0,1,195.20000000000002,Wohnen,3112,25.53290277338744,4984.022621365229,110.81907778910988,21631.88398443425"
"126,1954,1946-1960,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Gartenstrasse,4,8910,Affoltern am Albis,47.27498,8.451219,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,34.42231729172554,3359.618167672413,140.38666524962295,13701.738528363201"
"127,1951,1946-1960,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Gartenstrasse,6,8910,Affoltern am Albis,47.2748,8.451382,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,34.42231729172554,3359.618167672413,140.38666524962295,13701.738528363201"
"150,1963,1961-1970,122,4,""Mehrfamilienhaus, ohne Nebennutzung"",6,ZH,Affoltern am Albis,2,Im Welschland,16,8910,Affoltern am Albis,47.27539,8.452724,Wohnzonen,1,0,1,292.8,Wohnen,3112,27.175271000358045,7956.919348904836,115.19302447603124,33728.51756658195"
"153,1894,Vor 1919,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Tannholzstrasse,20,8910,Affoltern am Albis,47.27536,8.453191,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,25.70778821011734,2509.0801293074524,116.35941956219085,11356.679349269829"
154,1957,1946-1960,122,2,Wohngebäude mit Nebennutzung,1,ZH,Affoltern am Albis,2,Tannholzstrasse,17,8910,Affoltern am Albis,47.27524,8.45401,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,34.42231729172554,3359.618167672413,140.38666524962295,13701.738528363201
156,1900,Vor 1919,122,3,Wohngebäude mit Nebennutzung,3,ZH,Affoltern am Albis,2,Tannholzstrasse,26,8910,Affoltern am Albis,47.27479,8.45308,Wohnzonen,1,0,1,195.20000000000002,Wohnen,3112,23.63239323178765,4613.043158844949,109.82504537114173,21437.848856446868
"157,1924,1919-1945,122,3,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Tannholzstrasse,30,8910,Affoltern am Albis,47.27433,8.4529,Wohnzonen,1,0,1,195.20000000000002,Wohnen,3112,32.136818025385594,6273.106878555269,139.788692057025,27286.752689531284"
"164,1969,1961-1970,122,3,""Mehrfamilienhaus, ohne Nebennutzung"",3,ZH,Affoltern am Albis,2,Mühlrütistrasse,8,8910,Affoltern am Albis,47.27418,8.45489,Wohnzonen,1,0,1,195.20000000000002,Wohnen,3112,28.546861175148695,5572.347301389026,119.1540560479681,23258.871740563376"
"164,1969,1961-1970,122,3,""Mehrfamilienhaus, ohne Nebennutzung"",3,ZH,Affoltern am Albis,2,Mühlrütistrasse,8b,8910,Affoltern am Albis,47.27418,8.454942,Wohnzonen,1,0,1,195.20000000000002,Wohnen,3112,28.546861175148695,5572.347301389026,119.1540560479681,23258.871740563376"
"170,1979,1971-1980,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Tannholzstrasse,34,8910,Affoltern am Albis,47.27401,8.453005,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,30.821912647564567,3008.218674402302,133.7275282160774,13051.806753889154"
"172,1972,1971-1980,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Tannrütistrasse,3,8910,Affoltern am Albis,47.27281,8.454979,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,30.821912647564567,3008.218674402302,133.7275282160774,13051.806753889154"
"173,1972,1971-1980,122,2,""Mehrfamilienhaus, ohne Nebennutzung"",2,ZH,Affoltern am Albis,2,Tannrütistrasse,5,8910,Affoltern am Albis,47.27292,8.454914,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,30.821912647564567,3008.218674402302,133.7275282160774,13051.806753889154"
174,1972,1971-1980,122,2,Gebäude mit teilweiser Wohnnutzung,1,ZH,Affoltern am Albis,2,Tannrütistrasse,7,8910,Affoltern am Albis,47.27277,8.455472,Wohnzonen,1,0,1,97.60000000000001,Rest,3112,26.764691896349902,2612.233929083751,122.17670438259584,11924.446347741356
"177,1973,1971-1980,122,1,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Tannrütistrasse,15,8910,Affoltern am Albis,47.27283,8.455841,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,30.821912647564567,3008.218674402302,133.7275282160774,13051.806753889154"
"181,1973,1971-1980,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Tannrütistrasse,9,8910,Affoltern am Albis,47.27285,8.455374,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,30.821912647564567,3008.218674402302,133.7275282160774,13051.806753889154"
"193,1982,1981-1985,122,3,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Tannholzstrasse,19b,8910,Affoltern am Albis,47.27387,8.454028,Wohnzonen,1,0,1,195.20000000000002,Wohnen,3112,25.53290277338744,4984.022621365229,110.81907778910988,21631.88398443425"
"195,1982,1981-1985,122,3,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Tannholzstrasse,21a,8910,Affoltern am Albis,47.27363,8.454183,Wohnzonen,1,0,1,195.20000000000002,Wohnen,3112,25.53290277338744,4984.022621365229,110.81907778910988,21631.88398443425"
"198,1981,1981-1985,122,3,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Tannholzstrasse,23c,8910,Affoltern am Albis,47.27363,8.454498,Wohnzonen,1,0,1,195.20000000000002,Wohnen,3112,25.53290277338744,4984.022621365229,110.81907778910988,21631.88398443425"
"201,1981,1981-1985,122,3,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Tannholzstrasse,25c,8910,Affoltern am Albis,47.27345,8.454674,Wohnzonen,1,0,1,195.20000000000002,Wohnen,3112,25.53290277338744,4984.022621365229,110.81907778910988,21631.88398443425"
"203,1975,1971-1980,122,3,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Tannholzstrasse,31,8910,Affoltern am Albis,47.27334,8.454843,Wohnzonen,1,0,1,195.20000000000002,Wohnen,3112,28.33365336176192,5530.729136215928,126.21781639132138,24637.717759585936"
"212,1977,1971-1980,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Im Chrämerhoger,7,8910,Affoltern am Albis,47.2749,8.454117,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,30.821912647564567,3008.218674402302,133.7275282160774,13051.806753889154"
"222,1840,Vor 1919,122,3,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Jonentalstrasse,14,8910,Affoltern am Albis,47.27633,8.455037,Mischzonen,1,0,1,195.20000000000002,Wohnen,3112,23.63239323178765,4613.043158844949,109.82504537114173,21437.848856446868"
"229,1981,1981-1985,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Oetlistal,11,8910,Affoltern am Albis,47.27568,8.454099,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,27.775200355284117,2710.85955467573,117.4125949539232,11459.469267502905"
"235,1981,1981-1985,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Oetlistal,9,8910,Affoltern am Albis,47.27574,8.454036,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,27.775200355284117,2710.85955467573,117.4125949539232,11459.469267502905"
"129,1956,1946-1960,122,4,""Mehrfamilienhaus, ohne Nebennutzung"",8,ZH,Affoltern am Albis,2,Gartenstrasse,1,8910,Affoltern am Albis,47.27538,8.451299,Wohnzonen,1,0,1,292.8,Wohnen,3112,30.12302728678297,8820.022389570055,128.09820782937612,37507.15525244133"
"131,1959,1946-1960,122,4,""Mehrfamilienhaus, ohne Nebennutzung"",8,ZH,Affoltern am Albis,2,Gartenstrasse,5,8910,Affoltern am Albis,47.2749,8.451668,Wohnzonen,1,0,1,292.8,Wohnen,3112,30.12302728678297,8820.022389570055,128.09820782937612,37507.15525244133"
"132,1959,1946-1960,122,4,""Mehrfamilienhaus, ohne Nebennutzung"",8,ZH,Affoltern am Albis,2,Gartenstrasse,7,8910,Affoltern am Albis,47.27479,8.451844,Wohnzonen,1,0,1,292.8,Wohnen,3112,30.12302728678297,8820.022389570055,128.09820782937612,37507.15525244133"
"133,1962,1961-1970,122,4,""Mehrfamilienhaus, ohne Nebennutzung"",10,ZH,Affoltern am Albis,2,Gartenstrasse,9,8910,Affoltern am Albis,47.27464,8.452143,Wohnzonen,1,0,1,292.8,Wohnen,3112,27.175271000358045,7956.919348904836,115.19302447603124,33728.51756658195"
"136,1795,Vor 1919,122,3,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Chellengasse,3,8910,Affoltern am Albis,47.27657,8.45265,Zentrumszonen,1,0,1,195.20000000000002,Wohnen,3112,23.63239323178765,4613.043158844949,109.82504537114173,21437.848856446868"
137,1830,Vor 1919,122,3,Wohngebäude mit Nebennutzung,5,ZH,Affoltern am Albis,2,Chellengasse,7,8910,Affoltern am Albis,47.27661,8.452817,Zentrumszonen,1,0,1,195.20000000000002,Wohnen,3112,23.63239323178765,4613.043158844949,109.82504537114173,21437.848856446868
138,1830,Vor 1919,122,3,Wohngebäude mit Nebennutzung,3,ZH,Affoltern am Albis,2,Chellengasse,5,8910,Affoltern am Albis,47.2766,8.452783,Zentrumszonen,1,0,1,195.20000000000002,Wohnen,3112,23.63239323178765,4613.043158844949,109.82504537114173,21437.848856446868
"140,1924,1919-1945,122,3,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Tannholzstrasse,5,8910,Affoltern am Albis,47.27648,8.452533,Zentrumszonen,1,0,1,195.20000000000002,Wohnen,3112,32.136818025385594,6273.106878555269,139.788692057025,27286.752689531284"
"144,1840,Vor 1919,122,3,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Tannholzstrasse,11,8910,Affoltern am Albis,47.27601,8.452973,Zentrumszonen,1,0,1,195.20000000000002,Wohnen,3112,23.63239323178765,4613.043158844949,109.82504537114173,21437.848856446868"
"152,1967,1961-1970,122,6,""Mehrfamilienhaus, ohne Nebennutzung"",9,ZH,Affoltern am Albis,2,Tannholzstrasse,14,8910,Affoltern am Albis,47.2756,8.452883,Wohnzonen,1,0,1,488,Wohnen,3112,25.540690003234015,12463.856721578199,110.38961803644298,53870.133601784175"
"155,1900,Vor 1919,122,2,""Mehrfamilienhaus, ohne Nebennutzung"",2,ZH,Affoltern am Albis,2,Tannholzstrasse,28b,8910,Affoltern am Albis,47.27474,8.452868,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,25.70778821011734,2509.0801293074524,116.35941956219085,11356.679349269829"
"158,1987,1986-1990,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Tannholzstrasse,30a,8910,Affoltern am Albis,47.27425,8.453234,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,19.60425052809131,1913.374851541712,85.88449692546467,8382.326899925352"
"159,1979,1971-1980,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Mühlrütistrasse,1,8910,Affoltern am Albis,47.2744,8.453559,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,30.821912647564567,3008.218674402302,133.7275282160774,13051.806753889154"
"160,1978,1971-1980,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Mühlrütistrasse,3,8910,Affoltern am Albis,47.27443,8.454104,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,30.821912647564567,3008.218674402302,133.7275282160774,13051.806753889154"
"161,1981,1981-1985,122,2,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Mühlrütistrasse,4,8910,Affoltern am Albis,47.27414,8.454052,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,27.775200355284117,2710.85955467573,117.4125949539232,11459.469267502905"
"164,1969,1961-1970,122,3,""Mehrfamilienhaus, ohne Nebennutzung"",3,ZH,Affoltern am Albis,2,Mühlrütistrasse,8a,8910,Affoltern am Albis,47.27417,8.454993,Wohnzonen,1,0,1,195.20000000000002,Wohnen,3112,28.546861175148695,5572.347301389026,119.1540560479681,23258.871740563376"
"169,1979,1971-1980,122,3,""Einfamilienhaus, ohne Nebennutzung"",1,ZH,Affoltern am Albis,2,Tannholzstrasse,32,8910,Affoltern am Albis,47.27402,8.453285,Wohnzonen,1,0,1,195.20000000000002,Wohnen,3112,28.33365336176192,5530.729136215928,126.21781639132138,24637.717759585936"
"175,1973,1971-1980,122,2,""Mehrfamilienhaus, ohne Nebennutzung"",2,ZH,Affoltern am Albis,2,Tannrütistrasse,11,8910,Affoltern am Albis,47.27294,8.455272,Wohnzonen,1,0,1,97.60000000000001,Wohnen,3112,30.821912647564567,3008.218674402302,133.7275282160774,13051.806753889154"
